Hours,Shape
16,cigar
17,other
18,triangle
18,triangle
18,triangle
18,other
21,circle
05,light
05,light
11,rectangle
13,sphere
17,sphere
18,cylinder
18,light
18,circle
19,sphere
19,circle
19,sphere
20,sphere
20,changing
21,light
22,fireball
22,teardrop
23,sphere
01,circle
04,triangle
06,circle
12,teardrop
12,triangle
15,sphere
17,fireball
18,circle
18,triangle
18,light
19,circle
19,changing
19,unknown
20,triangle
21,fireball
22,light
22,cross
22,sphere
22,fireball
24,cylinder
01,circle
01,unknown
02,teardrop
05,cylinder
16,triangle
19,light
19,circle
19,formation
19,sphere
20,oval
20,light
21,circle
21,circle
21,diamond
21,other
21,unknown
21,triangle
21,unknown
22,light
20,other
21,light
22,disk
21,circle
21,circle
20,formation
19,triangle
19,triangle
23,triangle
23,light
01,light
21,light
02,light
21,formation
21,flash
22,light
00,egg
18,triangle
19,teardrop
19,changing
19,rectangle
20,oval
21,diamond
22,fireball
03,triangle
18,triangle
01,circle
05,other
06,circle
06,egg
09,unknown
18,egg
18,other
19,triangle
20,unknown
20,light
02,diamond
05,triangle
06,cigar
13,fireball
15,formation
18,light
18,light
19,triangle
20,light
21,changing
00,other
01,light
01,sphere
10,sphere
17,light
21,light
21,triangle
21,light
22,light
22,light
23,chevron
00,other
17,circle
20,fireball
07,teardrop
12,other
17,circle
17,other
18,unknown
19,triangle
22,rectangle
00,diamond
02,oval
07,unknown
18,other
18,triangle
19,triangle
20,other
20,disk
20,fireball
20,unknown
20,formation
20,triangle
21,light
21,light
22,unknown
23,changing
02,other
17,unknown
18,diamond
18,fireball
19,triangle
20,disk
20,cross
21,oval
23,fireball
01,circle
03,unknown
03,light
17,light
18,unknown
19,fireball
19,fireball
20,triangle
20,light
21,light
22,circle
22,light
23,light
23,fireball
23,fireball
07,changing
07,unknown
10,fireball
12,sphere
12,unknown
17,light
20,circle
20,fireball
21,formation
09,cross
18,fireball
20,light
20,other
21,fireball
21,circle
21,disk
22,light
23,sphere
02,sphere
02,circle
05,egg
06,sphere
06,circle
06,cigar
15,formation
16,light
16,oval
17,fireball
18,unknown
18,fireball
18,oval
18,sphere
18,sphere
19,circle
19,rectangle
19,fireball
19,fireball
20,formation
20,light
20,triangle
21,triangle
01,triangle
04,light
07,disk
11,light
13,cigar
16,cigar
17,light
17,disk
17,oval
18,flash
18,flash
18,light
18,triangle
18,fireball
19,rectangle
19,fireball
19,triangle
19,fireball
20,formation
20,triangle
20,light
20,triangle
21,circle
21,fireball
22,fireball
22,other
24,circle
01,disk
22,oval
20,fireball
22,changing
20,triangle
19,other
20,other
14,sphere
19,fireball
16,other
17,formation
17,triangle
19,triangle
19,disk
21,formation
21,rectangle
21,fireball
21,formation
21,formation
21,formation
21,formation
21,formation
21,formation
21,other
21,formation
21,formation
21,fireball
21,formation
21,formation
21,sphere
21,delta
21,formation
21,formation
21,formation
21,formation
21,formation
21,formation
21,fireball
22,formation
23,fireball
13,cylinder
17,light
19,flash
19,disk
21,fireball
21,fireball
01,triangle
02,other
02,light
03,triangle
04,oval
15,unknown
18,unknown
19,circle
19,unknown
18,unknown
20,unknown
20,fireball
21,chevron
21,fireball
21,light
05,triangle
12,circle
18,sphere
19,triangle
20,triangle
20,chevron
04,sphere
08,egg
12,unknown
18,oval
00,circle
12,unknown
14,sphere
17,triangle
19,light
20,flash
21,light
22,cigar
23,changing
23,other
14,formation
17,formation
21,flash
06,light
17,circle
19,unknown
19,fireball
20,flash
20,fireball
20,light
20,fireball
20,light
21,circle
21,teardrop
21,light
22,fireball
23,fireball
03,circle
03,light
05,unknown
13,formation
19,light
20,oval
23,light
03,cross
17,fireball
17,circle
20,changing
20,triangle
20,triangle
21,circle
22,circle
23,triangle
02,light
08,circle
10,cigar
18,chevron
18,chevron
18,other
20,light
20,disk
21,flash
23,triangle
23,light
17,other
19,flash
19,triangle
19,diamond
20,light
21,circle
21,oval
23,cross
00,light
12,cylinder
15,unknown
15,light
18,circle
18,cross
19,light
19,circle
19,fireball
20,fireball
21,unknown
23,triangle
15,fireball
17,oval
17,unknown
18,light
18,triangle
18,light
19,light
20,light
20,fireball
21,formation
23,unknown
03,formation
05,sphere
05,light
15,formation
16,fireball
17,triangle
17,sphere
17,fireball
17,fireball
18,formation
18,triangle
18,fireball
18,light
18,fireball
19,light
19,triangle
20,circle
20,light
20,fireball
20,light
20,light
20,circle
21,disk
21,rectangle
21,fireball
21,other
22,triangle
22,circle
22,diamond
23,flash
15,other
17,formation
18,circle
18,triangle
18,diamond
18,circle
19,fireball
19,cigar
20,circle
20,flash
22,sphere
03,circle
18,circle
22,disk
01,circle
22,unknown
21,sphere
22,circle
22,sphere
16,disk
21,oval
19,circle
22,triangle
23,unknown
06,sphere
20,sphere
21,disk
21,sphere
17,disk
18,disk
24,disk
09,disk
21,changing
21,circle
23,teardrop
20,circle
20,formation
21,disk
21,oval
23,disk
23,circle
20,formation
21,disk
22,fireball
23,oval
01,disk
20,circle
22,disk
20,cigar
04,sphere
21,triangle
22,circle
22,light
03,circle
20,light
17,light
23,other
10,circle
18,unknown
18,other
20,other
14,sphere
21,light
23,other
02,triangle
02,flash
19,rectangle
22,triangle
23,unknown
05,disk
05,disk
05,disk
18,triangle
05,disk
18,diamond
22,disk
23,unknown
03,light
03,triangle
19,unknown
22,light
01,triangle
01,disk
19,unknown
10,oval
18,light
20,triangle
12,egg
14,rectangle
19,triangle
04,disk
19,triangle
21,light
21,flash
23,fireball
23,other
19,fireball
22,other
22,formation
23,oval
10,light
17,diamond
20,light
22,sphere
00,other
02,other
03,triangle
04,sphere
18,triangle
18,other
21,light
21,triangle
22,triangle
23,circle
23,circle
23,sphere
00,fireball
01,light
20,disk
20,light
20,diamond
21,light
21,light
23,fireball
24,other
05,circle
17,sphere
18,fireball
20,other
21,light
22,circle
07,light
14,diamond
17,triangle
17,other
18,flash
18,other
19,other
20,flash
20,circle
20,unknown
21,triangle
22,triangle
01,light
16,rectangle
17,other
18,light
18,fireball
18,fireball
18,sphere
20,triangle
20,diamond
20,other
21,sphere
21,unknown
21,light
23,light
23,unknown
00,light
17,light
17,other
18,flash
21,triangle
21,triangle
22,circle
02,formation
11,light
14,sphere
15,oval
16,light
17,teardrop
17,oval
17,other
18,disk
18,light
19,unknown
19,unknown
20,formation
21,circle
21,diamond
21,light
22,triangle
22,rectangle
22,light
22,triangle
23,unknown
00,circle
01,light
01,triangle
02,formation
05,triangle
13,cylinder
17,changing
20,disk
20,chevron
20,light
21,circle
21,light
22,chevron
00,triangle
01,other
02,light
02,other
04,light
08,triangle
11,light
16,disk
17,triangle
19,fireball
19,fireball
20,light
20,circle
20,fireball
20,oval
20,light
22,sphere
22,triangle
23,circle
23,disk
23,light
23,light
01,fireball
05,light
09,changing
16,chevron
18,changing
19,teardrop
19,other
21,formation
21,disk
22,light
23,triangle
23,unknown
23,sphere
02,other
06,changing
09,formation
13,light
18,triangle
19,cigar
19,sphere
21,circle
22,changing
23,disk
03,light
17,disk
17,triangle
17,circle
18,teardrop
18,fireball
19,chevron
19,chevron
19,triangle
20,triangle
20,egg
20,light
20,other
23,rectangle
23,disk
02,oval
02,oval
07,light
18,light
19,circle
19,formation
19,disk
20,rectangle
22,other
01,other
09,light
10,triangle
13,changing
15,oval
18,light
20,triangle
20,light
21,light
21,other
23,cigar
23,light
00,sphere
17,cigar
17,circle
18,fireball
18,triangle
19,triangle
19,formation
19,fireball
19,sphere
19,other
20,sphere
20,light
21,fireball
21,circle
21,triangle
21,light
00,circle
02,light
05,oval
06,fireball
06,sphere
07,light
17,triangle
18,rectangle
18,sphere
19,other
19,diamond
19,light
20,changing
20,circle
21,triangle
21,light
23,other
24,circle
24,oval
24,other
02,fireball
04,fireball
05,fireball
06,sphere
06,fireball
16,unknown
16,oval
17,circle
17,sphere
17,fireball
17,circle
17,light
17,circle
17,chevron
18,other
18,diamond
18,unknown
19,fireball
19,unknown
21,light
21,unknown
21,sphere
21,light
21,fireball
22,unknown
17,other
03,teardrop
19,triangle
16,light
21,light
21,triangle
23,round
02,triangle
02,other
04,unknown
05,circle
05,fireball
06,fireball
18,other
21,triangle
21,other
22,triangle
22,light
23,other
00,formation
02,flash
05,flash
07,disk
14,cylinder
16,fireball
16,fireball
17,fireball
17,fireball
17,triangle
18,circle
18,fireball
18,circle
18,rectangle
18,fireball
18,fireball
18,teardrop
18,fireball
18,fireball
18,fireball
18,formation
18,fireball
18,fireball
18,fireball
18,fireball
18,fireball
18,fireball
18,circle
18,fireball
18,formation
18,fireball
18,oval
18,chevron
18,fireball
18,fireball
18,light
18,light
18,fireball
18,fireball
18,teardrop
18,fireball
18,cigar
18,fireball
18,fireball
18,fireball
18,fireball
18,fireball
18,other
18,fireball
18,light
18,fireball
18,light
18,light
18,fireball
18,fireball
18,fireball
18,light
18,light
18,light
19,fireball
19,triangle
19,light
19,fireball
19,fireball
19,light
19,other
19,fireball
19,unknown
19,unknown
19,fireball
19,formation
19,light
19,fireball
19,formation
19,triangle
19,cigar
19,fireball
19,fireball
19,fireball
19,fireball
19,fireball
19,fireball
19,fireball
19,sphere
19,fireball
19,circle
19,circle
19,formation
19,fireball
19,fireball
19,changing
19,fireball
19,fireball
19,light
19,fireball
19,formation
19,light
19,fireball
19,circle
19,other
19,cigar
19,flash
19,formation
19,other
19,light
19,light
19,other
19,fireball
19,other
19,formation
19,fireball
19,teardrop
19,circle
19,fireball
19,circle
19,fireball
19,fireball
19,fireball
19,other
19,disk
19,circle
19,light
19,cigar
19,formation
19,formation
19,formation
19,fireball
19,light
19,fireball
19,formation
19,fireball
19,fireball
19,fireball
19,fireball
19,fireball
19,fireball
19,egg
19,formation
19,formation
19,triangle
19,sphere
19,light
20,formation
20,formation
20,light
20,chevron
21,other
21,fireball
21,fireball
22,teardrop
22,other
22,other
23,light
23,light
23,other
23,chevron
23,rectangle
23,egg
23,diamond
00,other
20,sphere
23,fireball
23,other
23,circle
02,chevron
13,cigar
16,triangle
17,teardrop
19,formation
22,triangle
22,triangle
02,light
16,formation
19,sphere
21,cylinder
01,unknown
07,light
11,other
11,light
15,other
17,other
18,light
18,unknown
19,circle
21,light
21,circle
23,triangle
23,light
06,triangle
17,triangle
18,oval
19,light
21,triangle
22,cigar
22,disk
01,formation
17,triangle
18,disk
18,disk
20,light
21,triangle
22,sphere
23,flash
00,cylinder
10,sphere
10,oval
11,unknown
14,rectangle
17,disk
17,changing
18,unknown
18,light
21,rectangle
23,changing
23,circle
13,circle
15,other
18,light
19,fireball
20,light
21,chevron
02,light
06,cross
14,disk
17,fireball
18,light
18,circle
21,circle
23,triangle
23,light
00,chevron
17,cylinder
18,light
19,light
19,changing
19,light
19,circle
20,light
20,changing
21,other
22,unknown
22,formation
22,light
07,disk
17,triangle
19,light
20,sphere
04,fireball
05,light
16,light
17,circle
17,unknown
17,unknown
18,circle
18,unknown
18,flash
18,formation
19,light
19,other
19,triangle
20,circle
20,unknown
20,unknown
20,light
20,flash
21,sphere
21,triangle
23,flash
03,teardrop
04,fireball
04,triangle
05,unknown
05,other
05,light
07,circle
10,sphere
12,unknown
16,circle
18,light
18,fireball
18,unknown
18,diamond
18,diamond
19,other
19,fireball
19,circle
20,fireball
20,fireball
20,light
21,unknown
22,circle
23,sphere
23,fireball
23,light
00,oval
01,fireball
08,sphere
09,circle
10,formation
16,changing
18,fireball
18,fireball
18,light
19,circle
19,sphere
19,unknown
19,other
20,fireball
20,formation
20,light
20,light
21,circle
21,unknown
21,fireball
21,cigar
22,sphere
22,circle
22,fireball
22,sphere
23,fireball
23,formation
23,unknown
21,disk
19,sphere
06,light
04,fireball
17,cigar
21,chevron
22,other
21,light
02,other
03,oval
03,triangle
01,triangle
02,fireball
04,disk
04,triangle
04,circle
05,triangle
05,flash
17,fireball
18,triangle
19,light
19,triangle
19,circle
21,egg
21,formation
21,light
21,sphere
21,triangle
23,other
00,other
00,circle
02,triangle
02,sphere
03,sphere
14,triangle
16,unknown
17,teardrop
17,triangle
18,other
21,unknown
22,unknown
23,triangle
17,circle
18,rectangle
18,light
19,other
20,light
20,changing
22,other
01,triangle
02,triangle
04,unknown
12,circle
19,light
20,changing
21,cylinder
22,light
22,formation
22,unknown
03,fireball
06,light
10,other
19,other
23,light
16,unknown
17,light
19,light
20,sphere
05,light
09,circle
19,circle
20,flash
23,teardrop
03,light
13,changing
18,unknown
18,other
19,oval
20,other
21,other
00,triangle
05,cigar
05,light
10,circle
17,triangle
18,circle
19,light
20,triangle
23,other
01,fireball
01,fireball
18,light
18,circle
18,light
19,changing
19,oval
20,unknown
04,light
06,oval
06,other
10,unknown
10,light
16,circle
17,flash
18,sphere
18,triangle
18,chevron
18,sphere
18,light
18,disk
18,triangle
19,light
20,circle
20,circle
20,formation
01,other
01,fireball
03,disk
04,chevron
09,oval
18,unknown
19,light
19,unknown
19,light
19,unknown
21,unknown
22,other
23,fireball
23,flash
23,unknown
00,disk
01,other
04,diamond
04,sphere
05,sphere
07,light
07,triangle
11,triangle
18,disk
18,unknown
18,unknown
18,unknown
18,circle
20,light
20,other
21,fireball
08,fireball
15,disk
16,sphere
17,other
18,triangle
18,triangle
18,disk
18,changing
18,triangle
19,fireball
20,other
21,triangle
22,triangle
23,other
00,triangle
00,circle
00,light
01,triangle
01,light
05,circle
10,disk
15,sphere
16,circle
17,disk
17,unknown
17,circle
18,triangle
18,fireball
18,fireball
18,circle
18,fireball
18,formation
18,circle
18,flash
18,light
18,light
19,fireball
19,unknown
19,unknown
19,fireball
19,sphere
19,triangle
19,light
20,light
20,oval
21,sphere
23,diamond
23,sphere
23,oval
23,light
23,light
00,sphere
03,oval
09,unknown
17,circle
17,circle
18,light
18,fireball
18,light
18,fireball
18,fireball
19,light
19,light
20,light
20,light
22,fireball
23,sphere
23,cone
24,other
01,triangle
19,formation
21,delta
19,rectangle
00,triangle
01,triangle
01,triangle
18,light
21,disk
00,unknown
00,light
01,triangle
01,triangle
01,triangle
02,triangle
03,other
05,circle
05,formation
18,disk
19,light
20,light
20,light
21,other
01,triangle
18,light
18,triangle
19,light
20,light
22,disk
23,unknown
00,light
01,circle
01,triangle
01,sphere
02,disk
02,light
02,triangle
02,other
02,circle
02,triangle
03,triangle
03,triangle
03,triangle
04,cigar
04,diamond
04,unknown
04,circle
04,other
04,disk
04,changing
04,formation
04,formation
04,circle
04,other
04,cylinder
04,circle
04,chevron
04,triangle
04,cylinder
05,changing
05,chevron
05,flash
05,sphere
05,chevron
05,sphere
05,formation
08,other
13,sphere
16,triangle
17,light
18,triangle
21,circle
04,unknown
06,other
19,triangle
22,unknown
22,light
22,chevron
23,light
23,cigar
02,unknown
13,cigar
18,other
18,light
18,sphere
19,changing
22,changing
23,light
05,light
08,triangle
11,circle
11,cylinder
12,disk
16,sphere
18,light
20,changing
20,unknown
22,light
00,light
00,triangle
06,light
14,disk
15,disk
18,fireball
18,unknown
21,unknown
22,cigar
22,sphere
22,unknown
03,triangle
12,fireball
15,sphere
18,circle
19,chevron
21,cigar
21,light
21,formation
22,triangle
22,other
22,unknown
23,triangle
00,other
00,light
03,fireball
16,circle
16,triangle
18,other
20,fireball
21,teardrop
21,triangle
22,light
06,sphere
07,disk
08,circle
16,circle
17,unknown
17,oval
17,cone
18,disk
18,triangle
18,sphere
18,circle
19,circle
19,triangle
19,light
21,fireball
21,formation
00,light
00,triangle
19,circle
20,formation
20,diamond
23,circle
05,light
17,formation
18,cylinder
20,circle
20,oval
20,light
22,teardrop
23,circle
00,other
06,light
19,light
19,cigar
20,circle
20,flash
21,fireball
21,light
21,unknown
21,fireball
22,triangle
00,teardrop
00,disk
01,other
06,unknown
09,other
17,changing
17,fireball
17,disk
18,changing
18,light
18,changing
18,light
19,fireball
19,fireball
19,formation
20,triangle
20,light
20,triangle
21,fireball
21,circle
21,rectangle
21,chevron
22,fireball
04,cigar
06,circle
11,light
17,cone
17,other
17,disk
17,fireball
18,changing
19,sphere
19,sphere
20,triangle
21,circle
21,cylinder
21,light
22,sphere
24,disk
01,other
18,circle
18,disk
20,other
23,circle
03,circle
07,oval
15,sphere
21,light
21,formation
22,light
03,triangle
21,other
22,cylinder
03,oval
16,teardrop
17,other
17,light
17,other
18,triangle
18,unknown
21,formation
22,disk
22,sphere
02,chevron
02,triangle
02,other
11,unknown
21,light
23,other
00,changing
01,cross
02,changing
03,circle
03,formation
04,egg
04,triangle
04,formation
05,unknown
05,triangle
05,disk
05,formation
05,formation
05,other
05,light
05,chevron
05,egg
05,other
07,changing
17,cylinder
18,light
19,diamond
21,triangle
23,other
00,triangle
00,triangle
02,triangle
02,triangle
04,unknown
05,light
05,light
05,light
09,light
16,light
17,sphere
17,formation
18,light
19,sphere
20,light
21,light
21,triangle
21,triangle
21,light
22,formation
22,light
22,triangle
23,light
02,unknown
17,sphere
23,light
05,diamond
16,other
18,circle
19,cigar
21,chevron
00,unknown
02,sphere
02,light
05,light
05,circle
06,disk
13,sphere
16,unknown
16,disk
17,cylinder
17,light
17,fireball
18,formation
19,other
20,unknown
22,other
22,other
04,light
06,triangle
15,other
17,other
19,light
00,light
05,cigar
07,egg
13,unknown
16,light
18,triangle
18,light
18,rectangle
20,light
21,formation
22,cigar
22,light
23,triangle
23,triangle
00,triangle
05,light
17,light
17,cross
18,triangle
18,triangle
19,light
08,circle
16,fireball
17,unknown
19,triangle
19,circle
20,triangle
21,triangle
22,formation
00,triangle
06,light
10,diamond
11,cigar
18,fireball
21,flash
21,light
22,teardrop
22,other
23,unknown
00,triangle
01,light
03,rectangle
04,circle
05,cigar
12,circle
15,teardrop
15,teardrop
18,teardrop
18,triangle
19,fireball
19,light
19,sphere
20,light
22,fireball
23,triangle
24,changing
24,cigar
00,circle
07,circle
12,cigar
13,cylinder
14,sphere
14,sphere
17,fireball
17,circle
17,other
17,triangle
18,triangle
18,light
18,triangle
18,sphere
19,sphere
19,fireball
19,unknown
19,triangle
19,light
19,rectangle
20,triangle
20,fireball
20,circle
20,other
20,fireball
22,other
12,cigar
05,disk
21,unknown
22,fireball
12,circle
13,circle
08,sphere
22,diamond
17,light
20,light
20,fireball
17,disk
00,circle
00,circle
21,light
23,circle
20,other
02,unknown
12,disk
01,oval
16,triangle
20,unknown
23,oval
01,cigar
03,sphere
12,disk
19,sphere
20,disk
12,cylinder
19,sphere
20,formation
20,disk
01,disk
13,sphere
17,disk
20,disk
01,light
23,diamond
00,sphere
01,disk
20,circle
01,other
21,other
03,oval
00,oval
03,triangle
17,circle
23,light
21,triangle
00,other
00,other
18,unknown
02,fireball
06,triangle
10,changing
15,triangle
15,sphere
21,triangle
23,light
01,light
03,triangle
12,sphere
21,triangle
23,sphere
07,circle
07,changing
19,chevron
24,cross
01,light
02,triangle
04,light
06,disk
07,formation
13,circle
02,light
14,cylinder
17,light
23,unknown
00,sphere
00,unknown
00,light
03,light
05,light
14,light
16,light
17,formation
20,flash
21,triangle
21,sphere
22,cigar
23,egg
00,unknown
00,circle
00,light
01,circle
07,circle
18,light
19,light
20,circle
22,teardrop
22,fireball
22,light
22,changing
22,light
22,formation
04,oval
14,triangle
19,unknown
22,triangle
22,light
23,triangle
00,fireball
00,formation
00,triangle
00,circle
00,light
00,cone
01,disk
01,unknown
02,disk
02,triangle
05,circle
05,light
06,fireball
09,oval
12,sphere
13,unknown
15,circle
19,rectangle
23,light
23,triangle
00,light
00,light
00,other
02,formation
15,disk
17,changing
17,flash
00,formation
00,unknown
00,oval
00,light
01,changing
01,rectangle
03,flash
13,changing
17,disk
19,circle
21,light
23,triangle
00,light
05,light
17,changing
22,diamond
22,diamond
23,circle
00,sphere
00,other
00,circle
00,light
00,fireball
00,formation
00,light
00,fireball
01,formation
01,light
02,light
02,oval
03,disk
08,other
13,disk
14,changing
14,oval
15,light
15,disk
16,changing
18,circle
19,light
19,unknown
19,unknown
20,other
21,circle
21,sphere
23,disk
00,circle
00,light
00,triangle
00,disk
00,formation
00,light
00,fireball
00,light
00,light
00,light
00,oval
00,light
00,light
00,light
01,formation
01,light
01,disk
03,changing
06,light
08,fireball
11,other
12,light
17,unknown
17,changing
18,cigar
18,changing
19,light
20,fireball
20,light
21,changing
23,unknown
00,circle
00,diamond
00,light
00,sphere
00,sphere
00,diamond
00,changing
00,unknown
00,circle
00,light
00,light
01,fireball
01,other
02,unknown
17,cigar
18,cigar
19,fireball
19,unknown
19,circle
19,oval
20,light
22,light
23,light
23,circle
00,circle
00,light
00,triangle
00,triangle
00,light
00,triangle
00,light
00,light
00,unknown
00,light
00,fireball
00,formation
00,light
00,formation
00,other
00,light
00,sphere
00,triangle
00,light
00,formation
00,fireball
00,disk
00,unknown
00,chevron
00,sphere
01,sphere
12,sphere
12,triangle
13,triangle
17,triangle
18,light
18,sphere
19,light
00,oval
00,circle
00,fireball
00,light
00,light
00,light
00,sphere
00,circle
00,fireball
00,fireball
00,triangle
00,fireball
00,sphere
00,circle
00,fireball
00,circle
00,sphere
00,formation
00,unknown
00,formation
01,circle
01,other
01,light
05,light
07,triangle
09,rectangle
14,oval
17,cylinder
17,cylinder
20,other
20,sphere
20,cigar
22,unknown
22,fireball
22,light
24,fireball
00,circle
00,other
00,oval
00,circle
00,light
00,oval
00,oval
00,light
00,circle
00,fireball
00,fireball
00,oval
00,sphere
00,circle
00,circle
00,changing
00,light
00,light
00,circle
00,disk
00,circle
00,light
00,triangle
00,unknown
00,light
00,triangle
00,unknown
00,circle
00,oval
00,flash
00,fireball
00,light
00,fireball
00,fireball
00,fireball
01,circle
01,light
01,light
01,unknown
02,sphere
08,triangle
12,other
12,diamond
12,circle
12,light
12,light
12,unknown
12,circle
15,light
17,unknown
18,light
19,light
19,cylinder
19,sphere
19,sphere
19,fireball
20,light
21,cylinder
21,light
22,cylinder
22,sphere
23,circle
24,unknown
00,disk
00,sphere
00,triangle
00,other
00,other
00,fireball
00,changing
00,fireball
00,teardrop
00,circle
00,formation
00,light
00,oval
00,triangle
00,circle
00,cone
00,unknown
00,fireball
00,sphere
00,light
00,circle
00,fireball
00,fireball
00,circle
00,other
00,light
00,unknown
00,light
00,sphere
00,egg
00,fireball
00,formation
00,fireball
01,cone
01,triangle
01,sphere
01,sphere
01,cylinder
01,formation
01,unknown
01,fireball
02,light
06,disk
07,oval
08,fireball
13,light
16,circle
18,fireball
19,light
19,triangle
20,light
20,fireball
20,oval
20,fireball
21,unknown
21,fireball
21,changing
21,other
23,other
00,circle
00,light
00,circle
00,sphere
00,circle
00,unknown
00,circle
00,light
00,light
00,unknown
00,other
00,circle
00,circle
00,light
00,oval
00,sphere
00,sphere
00,light
00,formation
00,light
00,egg
00,light
00,formation
00,circle
00,circle
00,formation
00,circle
00,sphere
00,light
00,circle
00,light
00,light
00,circle
00,triangle
00,triangle
00,fireball
00,sphere
00,light
00,sphere
00,circle
00,light
00,flash
00,circle
00,unknown
00,fireball
00,light
00,circle
00,fireball
00,sphere
00,sphere
00,circle
00,fireball
00,flash
00,light
00,sphere
00,oval
00,formation
00,circle
01,circle
01,circle
01,circle
01,egg
01,fireball
01,fireball
01,other
01,fireball
01,light
01,fireball
01,egg
03,formation
17,rectangle
17,fireball
17,formation
17,formation
18,light
18,fireball
18,unknown
19,circle
19,circle
19,egg
20,sphere
20,fireball
20,triangle
21,sphere
21,light
22,circle
22,circle
23,fireball
23,light
21,unknown
07,triangle
21,oval
01,oval
17,unknown
20,light
19,circle
07,light
19,other
20,oval
00,diamond
04,sphere
22,light
24,light
21,circle
22,light
22,unknown
15,triangle
21,light
03,triangle
02,other
05,light
19,triangle
22,light
00,diamond
08,diamond
21,circle
01,oval
02,other
18,triangle
23,fireball
01,fireball
03,triangle
11,oval
19,fireball
20,triangle
22,flash
22,triangle
01,sphere
02,disk
05,fireball
14,fireball
16,disk
21,formation
23,cylinder
23,other
23,fireball
03,light
12,changing
15,egg
19,triangle
20,triangle
22,fireball
23,flash
02,chevron
04,chevron
14,triangle
22,other
22,oval
23,circle
00,sphere
11,fireball
15,cigar
17,triangle
20,light
22,oval
09,circle
17,fireball
17,light
17,light
17,circle
17,unknown
17,changing
17,other
17,circle
17,fireball
18,triangle
18,rectangle
18,light
18,other
19,triangle
19,unknown
21,triangle
22,light
02,unknown
05,formation
15,light
19,changing
20,changing
02,formation
03,unknown
10,circle
12,other
17,light
17,light
19,other
20,unknown
22,fireball
22,light
22,triangle
01,other
02,flash
13,circle
18,unknown
19,circle
21,other
23,circle
17,triangle
20,light
23,light
23,unknown
04,unknown
05,flash
06,oval
06,light
10,light
17,circle
18,other
18,light
19,circle
19,formation
19,rectangle
19,sphere
19,circle
19,light
22,unknown
22,fireball
22,fireball
23,circle
23,formation
23,fireball
24,rectangle
06,other
07,light
13,sphere
13,formation
16,circle
17,sphere
21,sphere
23,unknown
02,light
03,unknown
17,disk
20,circle
21,other
21,light
23,light
00,unknown
19,circle
21,light
22,egg
22,light
00,flash
16,oval
17,circle
18,sphere
18,cone
19,circle
19,other
00,circle
04,light
04,fireball
05,flash
08,light
10,light
16,light
16,fireball
16,flash
17,fireball
17,light
17,light
17,circle
17,formation
17,oval
17,light
18,fireball
18,oval
18,fireball
18,formation
18,oval
18,triangle
18,formation
20,triangle
20,light
21,fireball
21,light
21,disk
21,unknown
21,cylinder
22,triangle
22,disk
23,rectangle
00,oval
21,light
23,triangle
17,triangle
20,circle
15,sphere
20,circle
22,light
01,sphere
02,other
17,unknown
18,light
05,light
13,disk
17,light
18,unknown
18,triangle
20,other
22,triangle
04,light
05,other
05,circle
19,light
23,chevron
05,triangle
15,cigar
17,unknown
18,cross
20,chevron
01,cross
19,chevron
19,cigar
20,egg
20,formation
22,light
22,light
00,triangle
05,changing
06,circle
12,teardrop
07,cigar
12,flash
20,light
20,disk
21,disk
22,oval
23,changing
00,flash
01,fireball
05,other
06,other
07,changing
12,light
18,fireball
19,cigar
20,triangle
23,light
23,oval
00,circle
05,flash
05,diamond
09,triangle
10,circle
20,circle
21,cigar
01,other
01,formation
03,teardrop
13,cigar
17,circle
17,circle
18,unknown
18,circle
19,other
19,rectangle
19,triangle
19,light
19,unknown
19,light
19,light
20,rectangle
20,chevron
20,teardrop
22,light
23,triangle
24,light
00,circle
06,triangle
17,light
17,fireball
18,light
22,light
10,other
11,disk
14,changing
15,unknown
16,light
18,oval
18,light
22,triangle
22,light
24,unknown
02,unknown
02,unknown
02,circle
13,fireball
16,triangle
18,fireball
19,rectangle
01,circle
01,oval
11,unknown
17,fireball
17,circle
18,light
19,fireball
20,triangle
21,triangle
21,fireball
21,fireball
21,fireball
22,circle
23,circle
23,changing
00,triangle
06,fireball
11,sphere
19,light
19,light
19,triangle
19,fireball
20,sphere
21,fireball
21,unknown
22,fireball
22,light
18,disk
24,triangle
22,teardrop
22,disk
03,light
00,other
20,disk
20,disk
23,sphere
22,triangle
01,cigar
03,oval
02,triangle
19,triangle
18,chevron
00,light
02,unknown
18,light
23,light
03,fireball
05,light
21,light
23,fireball
00,circle
01,disk
03,diamond
19,triangle
20,other
20,circle
01,disk
01,disk
05,circle
16,oval
18,triangle
19,triangle
19,disk
19,disk
20,formation
21,triangle
22,fireball
01,changing
01,other
06,changing
13,triangle
17,light
21,cigar
21,circle
22,teardrop
00,light
00,circle
02,other
02,unknown
06,triangle
13,disk
14,circle
15,changing
16,light
17,other
17,light
18,triangle
18,triangle
19,sphere
20,flash
20,light
21,teardrop
21,rectangle
21,triangle
00,unknown
00,unknown
01,fireball
04,triangle
05,triangle
10,fireball
18,triangle
19,light
20,fireball
21,flash
22,light
02,light
02,light
03,teardrop
04,unknown
07,fireball
18,formation
18,unknown
18,triangle
20,light
22,triangle
22,triangle
01,disk
07,light
16,light
16,other
16,other
17,triangle
17,light
17,oval
17,changing
18,cigar
18,fireball
18,sphere
19,light
19,triangle
19,unknown
19,light
19,triangle
19,triangle
19,sphere
